501
1673, 4, 3
1673, 3, 4
385, 6, 4
385, 4, 6
1052, 7, 7
1052, 7, 7
683, 8, 4
683, 4, 8
1214, 8, 8
1214, 8, 8
443, 9, 5
443, 5, 9
1025, 9, 9
1025, 9, 9
1133, 10, 5
1133, 5, 10
1884, 10, 6
1884, 6, 10
739, 11, 5
739, 5, 11
1312, 12, 11
1312, 11, 12
1848, 13, 2
1848, 2, 13
609, 13, 13
609, 13, 13
592, 16, 9
592, 9, 16
364, 17, 12
364, 12, 17
1735, 19, 0
1735, 0, 19
815, 19, 5
815, 5, 19
41, 19, 7
41, 7, 19
1919, 20, 0
1919, 0, 20
972, 20, 7
972, 7, 20
1209, 20, 19
1209, 19, 20
889, 21, 5
889, 5, 21
1659, 21, 12
1659, 12, 21
893, 21, 13
893, 13, 21
794, 23, 3
794, 3, 23
1589, 23, 13
1589, 13, 23
1501, 24, 13
1501, 13, 24
640, 24, 16
640, 16, 24
1011, 25, 17
1011, 17, 25
722, 25, 25
722, 25, 25
1849, 26, 3
1849, 3, 26
611, 26, 6
611, 6, 26
1610, 26, 13
1610, 13, 26
1880, 27, 11
1880, 11, 27
132, 27, 25
132, 25, 27
713, 28, 2
713, 2, 28
2017, 28, 11
2017, 11, 28
1616, 28, 23
1616, 23, 28
575, 29, 12
575, 12, 29
1662, 29, 16
1662, 16, 29
1204, 29, 19
1204, 19, 29
1709, 30, 1
1709, 1, 30
1558, 30, 4
1558, 4, 30
1743, 30, 16
1743, 16, 30
439, 31, 3
439, 3, 31
1844, 31, 9
1844, 9, 31
1797, 31, 18
1797, 18, 31
1647, 31, 26
1647, 26, 31
498, 32, 15
498, 15, 32
1196, 32, 18
1196, 18, 32
517, 32, 19
517, 19, 32
1070, 33, 24
1070, 24, 33
1730, 33, 31
1730, 31, 33
61, 34, 30
61, 30, 34
1397, 34, 34
1397, 34, 34
492, 35, 26
492, 26, 35
1900, 35, 32
1900, 32, 35
543, 35, 35
543, 35, 35
1854, 36, 5
1854, 5, 36
1926, 36, 8
1926, 8, 36
1642, 36, 14
1642, 14, 36
966, 36, 32
966, 32, 36
887, 36, 33
887, 33, 36
269, 37, 2
269, 2, 37
914, 37, 13
914, 13, 37
1475, 37, 14
1475, 14, 37
28, 37, 18
28, 18, 37
1970, 38, 3
1970, 3, 38
387, 38, 9
387, 9, 38
217, 38, 10
217, 10, 38
1013, 38, 28
1013, 28, 38
1758, 39, 31
1758, 31, 39
903, 40, 3
903, 3, 40
1294, 40, 9
1294, 9, 40
1376, 40, 20
1376, 20, 40
1251, 41, 2
1251, 2, 41
1483, 41, 17
1483, 17, 41
263, 41, 21
263, 21, 41
197, 41, 26
197, 26, 41
731, 42, 11
731, 11, 42
803, 42, 13
803, 13, 42
544, 42, 28
544, 28, 42
1858, 43, 21
1858, 21, 43
500, 43, 25
500, 25, 43
1419, 44, 5
1419, 5, 44
17, 44, 38
17, 38, 44
617, 45, 23
617, 23, 45
1837, 45, 29
1837, 29, 45
1632, 45, 39
1632, 39, 45
652, 46, 3
652, 3, 46
764, 46, 18
764, 18, 46
1761, 46, 23
1761, 23, 46
860, 46, 30
860, 30, 46
1847, 46, 31
1847, 31, 46
1506, 46, 34
1506, 34, 46
922, 46, 41
922, 41, 46
226, 47, 14
226, 14, 47
555, 47, 25
555, 25, 47
2015, 47, 26
2015, 26, 47
590, 47, 36
590, 36, 47
338, 47, 44
338, 44, 47
1726, 48, 8
1726, 8, 48
406, 48, 12
406, 12, 48
890, 48, 32
890, 32, 48
1027, 48, 41
1027, 41, 48
1759, 49, 8
1759, 8, 49
1888, 49, 23
1888, 23, 49
50, 49, 27
50, 27, 49
1323, 49, 33
1323, 33, 49
1414, 49, 48
1414, 48, 49
801, 49, 49
801, 49, 49
2014, 50, 4
